carpeta	url	screenshots
076_prediccion_cuantitativa_del_valor_del_indice_de_la_bolsa_s_p500_usan	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/783-pii-dicc-2023-02	1
077_aplicacion_de_tecnologias_descentralizadas_web3_para_garantizar_la_t	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/784-pii-dicc-2023-05	1
078_evaluacion_de_estrategias_de_persistencia_poliglota_para_optimizar_o	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/786-pii-dicc-2023-03	1
079_evaluacion_de_la_representacion_de_datos_e_informacion_en_entidades	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-investigacion/148-proyectos-de-investigacion-internos-sin-financiamiento/787-pii-dicc-2023-01	1
080_proyectos_de_vinculacion_y_proyeccion_social	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-vinculacion-y-proyeccion-social	3
081_implementacion_del_smart_lab_laboratorio_de_iot_y_ciudades_inteligen	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-vinculacion-y-proyeccion-social/120-vinculacion/571-pvs-2018-021	1
082_silla_de_ruedas_electrica_controlado_por_ondas_cerebrales	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-vinculacion-y-proyeccion-social/120-vinculacion/572-pvs-2018-022	1
083_inclusion_digital	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-vinculacion-y-proyeccion-social/136-proyectos-de-vinculacion-y-proyeccion-social/570-pvs-2018-013	1
084_proyecto_de_inclusion_digital_democratizacion_del_acceso_a_las_tic_p	https://fis.epn.edu.ec/index.php/es/la-facultad/departamento-de-informatica-y-ciencias-de-la-computacion/proyectos-de-vinculacion-y-proyeccion-social/136-proyectos-de-vinculacion-y-proyeccion-social/782-pvi-dicc-2023-02	1
085_estructura_organica	https://fis.epn.edu.ec/index.php/es/la-facultad/estructura-organica	1
086_gestion_de_transferencia_tecnologica	https://fis.epn.edu.ec/index.php/es/la-facultad/gestion-de-transferencia-tecnologica	1
087_centro_de_medios	https://fis.epn.edu.ec/index.php/es/la-facultad/gestion-de-transferencia-tecnologica/centro-de-medios	1
